Participant,Parent Node,Child Node 1,Child Node 2,Quotes,Summary of Child Node 1,Summary of Child Node 2
KII_P3,Heat Sensitivity,Children,,"are there any other groups at higher health risks due to rising temperatures? Children and women. Children and women? Yes, they are the most vulnerable groups.",,
KII_P6,Heat Sensitivity,Children,,"The urban population is the highest, and if you can't reach them, your warning isn’t going to be effective. There are two or three groups that I believe are highly sensitive—children, for example, who are somewhat taken care of by closing schools. So, children are somewhat included in the group. Elderly population, too.",,
"FGD7_P3,P7",Heat Sensitivity,Chronic Diseases,,And those with high blood pressure.,,
FGD7_P6,Heat Sensitivity,Chronic Diseases,,Those with diabetes tend to fall sick.,,
KII_P5,Heat Sensitivity,Chronic Diseases,,"No, age-wise, health issues are something that affects everyone across all sectors or groups in some way. But if I were to create a hierarchy, definitely, those from the lower-income or low-income groups are the most affected. Those who are more vulnerable, such as those who have health issues or lifelong illnesses, or other problems, they are also affected. For example, people here suffer from dust allergies, cold allergies, and these are the issues arising from the temperature changes. In Dhaka city, more than 80% of households have allergy problems, such as dust allergies, cold allergies, and the instability in temperatures due to hot and cold weather. This causes us difficulty in adjusting. I am staying in a room with one temperature, but when I step outside, the temperature is different. When I leave the air-conditioned room, the temperature is completely different.",,
KII_P1,Adaptive capacity,Clothing,,"Ah! In some Western countries, they spray water in public places, such as bus stops or railway stations. But I have seen some of them using this sort of heavy clothing, and they also allow half-sleeve shirts or T-shirts even for official purposes (for example, Japan introduced such a rule). Right, that's mostly it!","Participants mentioned that during these extremely hot days, they mostly prefer wearing light coloured, breathable cotton fabrics, such as an old shirt or a lungi. It's comfortable to go and work in extreme heat.",
FGD4_P2,Adaptive capacity,Clothing,,"“In the heat, we wear thinner clothes, so that air can pass through, but in cold weather, we wear thicker clothes to keep warm.”",,
FGD5_P(all),Adaptive capacity,Clothing,,“Agreed.”,,
FGD5_P10,Adaptive capacity,Clothing,,"“Clothing (one participant disagrees). For instance, wearing light, breathable clothing—”",,
FGD5_P2,Adaptive capacity,Clothing,,"“Look at this light Indian dhoti I’m wearing. It’s lightweight, doesn’t feel too hot, and prevents sweating.”",,
FGD6_P2,Adaptive capacity,Clothing,,“Light cotton clothing feels cooler.”,,
"FGD7_P2,P3,P9",Adaptive capacity,Clothing,,"""Do you personally wear cotton clothing to stay cool?"" - ""Yes, yes.We mostly wear cotton clothes.""",,
FGD8_P1,Adaptive capacity,Clothing,,"With new clothes, the fabric feels stiff, and it makes me feel hotter. I try to wear old clothes as much as possible.",,
KII_P7,Capacity,Data,,"“One site is not enough? This is a technical issue, which those in charge of the database can answer. From one database, millions of people can use it simultaneously. If the capacity of the system can be expanded, there shouldn't be a problem, but I can't say for sure it's a highly technical issue.”",,
KII_P7,Capacity,Data,,"“I’m not sure if they are collecting it from just one center or multiple centers. It should be from different points in Dhaka, because they work with those data. It’s reasonable to expect that the heat will vary in different parts of Dhaka city.”",,
KII_P7,Capacity,Data,,"“This shouldn't be the case, I believe. Because, just like rainfall varies from one side of a field to the other, heat will vary as well.”",,
KII_P7,Capacity,Data,,"“It can be done, it will be done! For that, we need resources, we need mobilization of resources. There’s a lot of need. Yes, we need a lot of things. We are gradually progressing at the required pace, and we will continue in the coming days…”",,
KII_P7,Capacity,Data,,"“Where they are coming from, which area? But isn’t this the job of the Health Ministry? This isn’t the work of the Health Ministry alone you’re talking about. Right? We are already doing disease heat mapping in Bangladesh. For example, for dengue, we’re doing that. From this year, we’ve started a new system where, when a dengue patient arrives, we track where they are coming from, which area they are from. This allows us to focus on why dengue is more prevalent in that area. We’re doing this.”",,
KII_P7,Capacity,Data,,"“Hmm, it will definitely be possible. If we have a mapping system with a software database, it can be done by IT experts, everything is possible.”",,
KII_P8,Capacity,Data,,"However, hospital data does not always reflect this impact accurately.",,
KII_P8,Capacity,Data,,"When people visit hospitals, they report having a fever and seek treatment. The hospital records only mention fever in the registry, but the detailed health checkup or diagnosis that identifies the actual issue is often not documented. Therefore, we could not extract useful information from hospital data.",,
KII_P8,Capacity,Data,,"“The availability of MIS data is one thing, but the real question is how much data is actually present in the MIS. Bangladesh is now receiving significant attention globally regarding the impact of climate change on health. At COP28, we officially declared a Health Day, and work on health-related issues is already underway. However, we struggle to access funding because we lack sufficient data. For any climate change-related study, evidence or long-term data is essential. Climate change, by definition, is linked to the analysis of long-term data trends. Considering this, Bangladesh lacks continuous long-term data. Over the past five years, the Ministry of Health has been trying to accumulate data, but their methodology has not yet been finalized. They are still figuring out how to collect the data effectively. One major reason behind this challenge is that the private healthcare sector dominates over the public sector in Bangladesh. Government hospitals exist, but most people prefer private healthcare because doctors are regularly available there. Additionally, many people, especially in rural areas, do not visit hospitals at all. Instead, they go to pharmacies where either a doctor is available or they take advice from the person selling medicines. This habit makes it difficult to build a comprehensive database. The government of Bangladesh has taken an initiative to digitize its hospitals and is trying to link patient records with voter IDs. Since COVID-19 helped generate unique IDs for individuals, they are attempting to link health data with these IDs. However, this effort is limited to the public sector. A large number of patients who seek treatment from the private sector remain unaccounted for. So, if we analyze only public sector data, it will not reflect the actual situation. Before we even consider data availability, the data collection process itself needs to be completed. If researchers from institutions like ours apply for access to government data, we do receive it—though with some effort. That part is manageable. But first, the data itself needs to exist.",,
KII_P8,Capacity,Data,,"“I can't say exactly how many stations there are in Dhaka, but just the day before yesterday, I was talking to a BMD official, and they have significantly increased the number of stations. There might be enough stations in Dhaka, but they are actually segregated. And because of this, data collection is not happening in an integrated way. As I mentioned earlier, we need proper planning for data collection, but BMD has not been able to develop that plan yet. However, compared to other countries, the data that BMD collects is quite rich.”",,
KII_P8,Capacity,Data,,"“The first problem is that we have a significant lack of resources. It’s not fair to blame BMD just because they don’t have enough data. We implement many projects in Bangladesh, right? But how many of these projects actually provide institutional support to BMD? When it comes to climate change, people often say institutional support isn’t possible because it would lead to emissions. But if we don’t have sufficient data, how can we generate evidence? Many universities are working in Bangladesh—Harvard, Imperial, and others. They are conducting projects worth millions, but if we ask them to fund the establishment of a station for BMD, they are not interested. As long as BMD’s resources do not increase, there is little they can do. Since we are a developing country, we have many development challenges. The government cannot ignore other development needs to focus solely on this issue. BMD is struggling as well they know that their data is not being properly addressed. Now, if we divide Dhaka, we can see that the entire city functions as a segregated weather system. If you go to your rooftop and look around, you will see many water bodies behind you. In the middle of the city, there is almost no greenery. But if you look toward the Cantonment area, you’ll see that it’s entirely green. So, if we think along those lines, we need to place weather stations strategically. There should be a weather station for the Cantonment, another for areas like Purbachal or near the Shitalakshya River, where water bodies are more prevalent. But this is not practically feasible. What we can do, however, is collect data from BMD and conduct research to determine the extent of variation. If we can establish a methodology to analyze this variation, then even with the data collected from BMD, we can interpret it properly. For example, if we find that a specific zone has a certain temperature, we can apply an adjustment factor based on established research—such as subtracting a specific amount due to the cooling effect of water bodies. Since water bodies can cause a one or two-degree difference, we can develop such a methodology. But installing separate stations in every location is not a feasible solution.”",,
KII_P9,Capacity,Data availability,,"“Definitely not. I think if you don't look at several areas of Dhaka, then relying on just one station will not give you a comprehensive picture. The activities in Dhaka's different zones or fringes are different. For example, in more commercial or industrial areas, the scenario is different from residential areas. I think if we could include some commercial or industrial areas based on land use, then we could get a more representative picture.”",,
KII_P8,Recommended Adaptation Strategies,Declaration as Disaster,,"“No, no, it's not something that can be counted only by the City Corporation. The climate change adaptation plan, which we follow for climate change, is the National Adaptation Plan. In that plan, we mention 14 hazards, among which heatwaves and cold waves are one. So, when you talk about climate change, it doesn't matter what the City Corporation says. The previous Prime Minister of Bangladesh, in Parliament, established this book, which is now referred to as Bangladesh's climate change Bible. In it, we discussed 14 climatic hazards, one of which is heat. And heatwaves occur at least once a year. Think about how high it can reach.”",,
KII_P8,Recommended Adaptation Strategies,Declaration as Disaster,,"“Yes, we always consider the distinction between climate change and disaster management. In reality, they are not entirely separate. We need to think about the impacts of climate change and what preparations we can make for the future. How can we bring in finance for these actions? These are tasks under the Ministry of Climate Change. Disaster management, however, is a separate responsibility. The Disaster Management Ministry is responsible for any disaster in the country, not only climate-related ones. If you read their Standing Orders on Disaster (SOD), it outlines what actions need to be taken during each disaster. In this context, you can't bring climate change hazards or normal disasters into the picture at the same time. For example, the Disaster Management Ministry is responsible for cyclones, but also for earthquakes, right? So the problem here is that we ourselves don't know what should be done. When it comes to heat, do we call it a disaster? Typically, when excessive heat leads to someone dying, we label it as a disaster, right? So, the moment a person dies, disaster management should be activated. That's the rule according to the SOD. When an emergency arises, disaster management kicks in. There are many links to this. The fire service gets ready. If you're talking about heatwaves, the fire service is one of the most important responders, because fire can break out due to the heat, right? The fire service is the first to respond to rescue and handle fire hazards. Beyond that, we have volunteers all over Bangladesh for disaster management...”",,
KII_P8,Recommended Adaptation Strategies,Declaration as Disaster,,"“And there’s a significant gap in coordination here. I agree with what you said, that I can declare the heatwave as a disaster. Of course, I can. We declare it. When we announce in the news that so many people are dying due to the heat, it becomes a disaster news. That's when the City Corporation comes out with vehicles to distribute water. They start distributing water only when the disaster begins. Until then, you won’t see them bringing out water, right? They won’t distribute medicines for dengue until the outbreak increases. So, those activities happen when it turns into a disaster.”",,
KII_P6,Understanding of Heat,Definition,,"I think heat or things like that, meaning if we talk about heat, air quality, or noise, these three parameters are important for the city.",,
KII_P6,Understanding of Heat,Definition,,"36 degrees. But now, every temperature is going above 41-42 degrees in the last year. So, what definition are they using for that?",,
KII_P6,Understanding of Heat,Definition,,"Now, this definition is different for each stakeholder. Your BMD says it one way, and when you go to any of the line ministries, Disaster Ministry or SOD, they all have different definitions. I mean, there's nothing like a universal definition. So, regarding the record they mentioned, they said that when it crosses 35°C, they issue a heat warning, but the impact you will experience at 35°C won’t be the same as at 37°C. Another thing is the ""how it feels"" part temperature is measured as real-time temperature, but how it feels is often 2-3 degrees higher. There are many factors involved, such as humidity, and other factors. So where will you place that definition? Now, they generate the message once it crosses 35°C, but the actual real temperature is yours. So, I had a bad experience once when we went to the field. I knew the temperature would be high that day. Later, when we went to the field, I was feeling extremely exhausted, drinking water, doing everything. When I checked the temperature after returning, we had gone to a very remote area with network issues. The temperature there was showing 42-43°C, but I had predicted it would be around 37-38°C. So even a 1-2 degree difference makes a lot of difference. And when you're working outdoors, it's going to be very troublesome for you.",,
KII_P7,Heat Perception,Disaster Declaration,,"“Yes, it will come. Absolutely, there will be changes.”",,
KII_P3,Adaptive capacity,"Donating Water, Saline, and Juice",,"If we talk about the city corporation, our efforts really started last year. The initiatives included ensuring access to potable water at our ten regional offices when the heatwave struck so that people could drink water. Besides these ten regional offices, we also provided potable water in places with high public gatherings. We arranged umbrellas for rickshaw pullers in some locations. We started spreading awareness messages on social media about how people could protect themselves from heat stress. We conducted media campaigns as well. These are the activities we have carried out.","During this extreme heat in recent years, people have been dealing with it as a community. Many participants mentioned that, they saw others donating water during the hot days of summer. People sometimes not only donate safe drinking water, but also arrange for saline, medicines, and juices along the roads so that passerby in need can access them. Sometimes passersby fall sick, and they become senseless on the road. In those instances, people take immediate action, buy saline, tend to them, and take them to a cooler place, such as a mosque or elsewhere. One of the KII participants from the city corporation mentioned the active efforts they are making such as providing portable water in different crowded areas to give easy access to drinking water to people on road to save people from extreme dehydration. They also arranged big umbrellas in different location to allow working class people such as rickshawpuller to rest under them. One of the key initiatives taken by the city corporation is spreading social media awareness regarding heat stress. ",
FGD2_P6,Adaptive Capacity,"Donating Water, Saline, and Juice",,Now I see that the ‘Mum’ company has pick-up trucks parked and they’re giving away half-liter bottles of cold water.,,
FGD2_P6,Adaptive Capacity,"Donating Water, Saline, and Juice",,"Over here, during a few days when the councilor was present, they provided sherbet and that's about it.",,
"FGD3_P2,P3",Adaptive Capacity,"Donating Water, Saline, and Juice",,"Everyone has taps in their houses. Still, our councilor has arranged to provide pure water or saline through vans in every neighborhood during the summer. They brought 4/5 vans and provided water, free of charge. Do you think this should be a regular service, or is it only needed in the summer? It should be done regularly. People don’t drink enough water otherwise.",,
FGD5_P(all),Adaptive capacity,"Donating Water, Saline, and Juice",," “Yes, Yes. (All agree)”",,
FGD5_P10,Adaptive capacity,"Donating Water, Saline, and Juice",," “Sometimes there are individual initiatives. Like, we once provided water during extreme heat (some participants give their opinions).”",,
FGD-5_P10,Adaptive capacity,"Donating Water, Saline, and Juice",,"“If it gets very hot, we bring chairs and water.”",,
FGD5_P2,Adaptive capacity,"Donating Water, Saline, and Juice",,"“No, that’s it. When someone becomes senseless from the heat, we lay them down here and give them water. Once they feel better, we send them to the hospital if needed.”",,
FGD5_P2,Adaptive capacity,"Donating Water, Saline, and Juice",," “At that moment, we become our own doctors. (P5: Saline!) We quickly bring two packets of saline, mix it with cold water, and give it to the person. It works like a miracle.”",,
FGD-5_P8,Adaptive capacity,"Donating Water, Saline, and Juice",,"Some people get sick from the heat. When that happens, we bring them to the prayer area, let them rest under a fan, and give them water until they feel better.”",,
FGD7_P7,Adaptive capacity,"Donating Water, Saline, and Juice",,"Yes, people give water wherever they go.",,
FGD-9_P4,Adaptive capacity,"Donating Water, Saline, and Juice",,One person from Laksham Nagar Kote also provided free juice here.,,
FGD-9_P9,Adaptive capacity,"Donating Water, Saline, and Juice",,"Some people even distribute juice for free, I’m not lying. In our neighborhood, people provide free juice.",,
FGD-9_P9,Adaptive capacity,"Donating Water, Saline, and Juice",,"For instance, in Shyampur Bazar, Lal Mosque, and many other places, I’ve seen this.",,
FGD2_P7, Adaptive Capacity,Dringking Water,,"Like, I gave him water, for example",,
FGD2_P3, Adaptive Capacity,Drinking Water,,I drink water frequently.,,
"FGD3_P1,P2,P4,P7,P9", Adaptive Capacity,Drinking Water,," The drinking water comes from wells (driven or drilled well), about 300 to 400 feet deep. Most of us have deep wells in our homes. We have ‘chama’ (electric pump). Some people have ‘chama’ (pump) and others have tube wells to extract water. We extract water from underground. 300 to 400 feet deep.",,
KII_P2,Adaptive capacity,Drinking Water,,"In old Dhaka, for example in Gendaria, there were water taps in the middle of the streets where people could drink water. If we go to Barisal or Rajshahi, we’ll see large clay tanks in the streets where water is kept.","One of the coping measures the participant adopted to mitigate excessive heat is drinking more water than usual. Many participants mentioned that drinking cold water cools their bodies, providing them with instant, temporary relief while working indoors or even while working out of the house. During the extremely hot days of summer, the arrangement of drinking water is seen as an adaptive measure. Rajshahi is one of the first cities to implement such initiatives for its residents. As Bangladesh has been experiencing heat waves in recent years, this arrangement has become common practice in the capital. City corporations, NGOs, educational institutions, mosques, and sometimes school authorities and even private initiatives arrange water in public spaces so it is easily accessible to common people, allowing them to drink it. These initiatives in public spaces, such as mosques, streets, and in front of private houses, allow passersby to drink water and avoid dehydration and heat stroke. ",
FGD2_P7,Adaptive Capacity,Drinking Water,,We drink water without measuring it.,,
"FGD4_P1,P4",Adaptive capacity,Drinking Water,,"“Cold, fever, cough. You have to drink cold water in the heat.”",,
FGD4_P3,Adaptive capacity,Drinking Water,,“I just drink a glass of cold water.”,,
FGD5_P2,Adaptive capacity,Drinking Water,," “Here, if someone feels thirsty, there’s water in front of every shop",,
FGD5_P8,Adaptive capacity,Drinking Water,," “No, no, we only drink water.”",,
FGD7_P7,Adaptive capacity,Drinking Water,,water consumption increases a bit during the heat.,,
KII_04_M4,Adaptive capacity,Drinking Water,,"Thirty-five days. This was a rare and historic event for Bangladesh. If you consider global records, 2023 was the warmest year on record. In this context, I observed that whenever the temperature remains around 36°C or even 34°C for several consecutive days, there is a noticeable rise in the consumption of lemon juice in slum areas and urban zones",,
KII_P6,Adaptive capacity,Drinking Water,,"“ Regarding their health, they mainly focused on water consumption, actually.”",,
KII_P8,Adaptive capacity,Drinking Water,,"“If I talk about schools, based on last year's summer experience, when they saw extreme heat conditions, they closed schools. They also arranged water supply systems so that children could carry a flask filled with water and refill it later.”",,
KII_P8,Adaptive capacity,Drinking Water,," “Those who work outside—I have noticed that the government, city corporations, and NGOs have taken some initiatives. For example, in front of BRAC University, you can see a water station where pedestrians can get fresh water. Similar initiatives have been taken across Bangladesh by different NGOs and private sectors. However, even with these measures, their work efficiency has decreased.”",,
KII_P8,Adaptive capacity,Drinking Water,," “Regarding long-term measures, as I mentioned, there are initiatives for providing fresh water on the streets. For example, I saw this in Rajshahi 10 years ago. Back then, they had placed earthen pots for water. Yes, Rajshahi is known as the cleanest city, and from what I observed, they were among the first to implement this system. Now, in some parts of Bangladesh, similar installations are found in the middle of roads or at various locations. Particularly, mosques often provide this fresh water support. Organizations like WaterAid are also working on this.”",,
KII_P9,Adaptive capacity,Drinking Water,," “Excluding the urban heat island effect, we know how much people are suffering during the summer months—heat strokes, people drinking sherbet, staying in the shade, rickshaw pullers unable to work, and daily laborers unable to work.”",,
"FGD-9_P2,P5",Adaptive capacity,"Drinking water, saline and medicines",,"generally, what do you do during such heat? How do you manage with all these difficulties? Do you drink more water? Yes, we drink more water, use oral saline.",,
KII_P6,Heat Exposure,Economic Condition,,"Definitely. I mean, I would say this from my research, and from what I’ve studied, it is definitely relevant. Because you think about it this way, right now you’re feeling hot, okay. You need some means to refresh yourself. Imagine you’re walking down the street, you go straight and then drink some cold water or Coke or whatever it is. You can spend money. But for a rickshaw puller, or let’s leave the rickshaw puller aside, think about a day laborer. They’re earning, say, 500 Taka a day. From that, they need to support their family. They cannot access this option unless they are extremely thirsty. They would always prefer going to a tea stall to get water to rehydrate themselves. You, where you are buying bottled water or mineral water, for them, it would be something they would rethink. I mean, for them, that would be a luxury product, like, “Should I buy bottled water or should I go somewhere nice and drink something good?” This is not an option for them. So, here, the economy plays a huge role, and even more importantly, access to different resources. I mentioned the medical issue earlier. So, it was very interesting when I went to a rickshaw puller’s garage. They said that when they rehydrate or go to the doctor, their maximum limit is going to the pharmacy. Because, here, if you see the water sources, if they suffer from waterborne diseases, it impacts their income, especially if they are getting water from unsafe sources. So, you won’t see the direct impact of heat, but because of heat, they are forced to drink that water. Now, if that water is coming from a dirty, unhygienic source, how do you look at it? So, these are hidden issues. If you want to relate them, you can, but if you don’t want to, it will be there forever. So, for me, the time is coming to tap into these areas and understand how interrelated they are—how health, hygiene, and heat are interconnected.",,
"FGD2_P2,P3,P6",Barriers to Coping Heat,Economic Consideration,,"I rest at home for about an hour, mainly for food. Whether it's sunny or rainy, we stay on this road. We have to stay on the road.",,
FGD2_P7,Barriers to coping heat,Economic consideration,,"For those who live on the footpath, it feels the same whether they stay or not. In the morning, after Fajr prayer, I go to the market. I take goods, arrange them, sell them, and then eat around noon. After that, I stay out until 11 or 12 at night.",,
FGD6_P3,Barriers to Coping Heat,Economic Consideration,,"“When I think of heat, I imagine that if I had the money, I’d install AC in my shop and all over my house. But since I don’t have that financial ability yet, I can’t do it.”",,
FGD6_P3,Barriers to Coping Heat,Economic Consideration,,"“When the sides get waterlogged, trees die, causing further issues. Roads aren’t good either.”",,
FGD8_P4,Barriers to Coping Heat,Economic Consideration,,"If people were slightly better off, they could install air conditioning or use two fans instead of one. But because they are poor, those things aren’t affordable.",,
FGD-8_P4,Barriers to Coping Heat,Economic Consideration,,"If people were slightly better off, they could install air conditioning or use two fans instead of one. But because they are poor, those things aren’t affordable.",,
FGD8_P6,Barriers to Coping Heat,Economic Consideration,,But there are situations where people can’t afford even this expense.,,
FGD-8_P6,Barriers to Coping Heat,Economic Consideration,,But there are situations where people can’t afford even this expense.,,
FGD-9_P5,Barriers to Coping Heat,Economic Consideration,,"Separating would increase rent, and we wouldn’t be able to afford it.",,
FGD-9_P9,Barriers to Coping Heat,Economic Consideration,,"Right, hospitals are far away. Now think, I have a loan installment of 500 taka today. I have to work I can’t afford to go to the hospital.",,
KII_P2,Barriers to Coping Heat,Economic Consideration,,"Some people are forced to get into cars and then get out. Or maybe those from the lower-middle class who work in malls stay in air conditioning all day, but when they step out after being in AC for eight or nine hours, they have to face the outside conditions. When they get home, there's no AC there, and this becomes a pressure. Physiologically, it creates disturbance. Especially for students at BRAC University, they attend classes in AC but may not have AC at home. This, too, has an impact if the situation is like that.",,
KII_P6,Impact of Heat,Economic Impact,,"So, the first focus on heat, I think, happened in the 2022 NAP. There, it separately mentioned how much employment or GDP impacts will come due to heat.",,
FGD2_P8, Heat Sensitivity,Elderly,,"And for adults, it’s the heat waves—they are the problem.",,
FGD2_P6,Heat Sensitivity,Elderly,,"It was a man, a slightly older individual.",,
FGD5_P2,Heat Sensitivity,Elderly,,“Laborers and older people.”,,
FGD5_P8,Heat Sensitivity,Elderly,, “Laborers and older people.”,,
FGD6_P6,Heat Sensitivity,Elderly,, “Children and the elderly.”,,
FGD7_P3,Heat Sensitivity,Elderly,,"Yes, and elderly people also get sick more frequently.",,
FGD8_P5,Heat Sensitivity,Elderly,,"The elderly and children suffer the most. They can’t express it well or tolerate it. The elderly may call us for help, but sometimes we’re too busy to respond immediately. And children—they can’t articulate what’s wrong. They’ll jump around or cry, but they can’t explain their discomfort. It’s up to us to understand that they’re feeling unwell. But even then, we prioritize finishing our work first before attending to them.",,
FGD-9_p4,Heat Sensitivity,Elderly,,Who suffers the most from the heat? Mostly the elderly and small children.,,
KII_P2,Heat Sensitivity,Elderly,,"Of course, women are more vulnerable, since they stay home. Then there are children and the elderly, who are the most vulnerable in our society. The key point is that the group who does not earn and is dependent on others is always the most vulnerable. This vulnerability is determined by the economic aspect. The person who has money in the household, the person who earns, and the one who doesn’t—these situations differ greatly. So, I believe if we both earn, we can share the responsibility of cooking. The vulnerability is shared between us. But it’s hard to generalize that one person will bring their earnings and give them to the other. It’s complicated.",,
KII_P6,Heat Sensitivity,Elderly,,"The urban population is the highest, and if you can't reach them, your warning isn’t going to be effective. There are two or three groups that I believe are highly sensitive—children, for example, who are somewhat taken care of by closing schools. So, children are somewhat included in the group. Elderly population, too.",,
FGD3_P1,Heat sensitivity,"Elderly, Children",,Especially for children and the elderly.,,
"FGD3_P1,P9",Heat Sensitivity,"Elderly, Children",,"This muggy heat—does it cause health problems in the area, to your knowledge? Yes, it does. Especially for children and the elderly. It affects children the most. Children and older people suffer the most.",,
FGD3_P9, Heat Sensitivity,"Elderly,children",,"If this environment didn’t exist, the heat would be unbearable. This is why children and elderly people fall ill often, with fevers and various diseases.",,
FGD-8_P5,Heat Sensitivity,"Elderly,children",,"The elderly and children suffer the most. They can’t express it well or tolerate it. The elderly may call us for help, but sometimes we’re too busy to respond immediately. And children—they can’t articulate what’s wrong. They’ll jump around or cry, but they can’t explain their discomfort. It’s up to us to understand that they’re feeling unwell. But even then, we prioritize finishing our work first before attending to them.",,
FGD-9_P8,Heat Sensitivity,"Elderly,children",,"The elderly, kids, and those with weaker health face the most problems.",,
FGD2_P6, Adaptive Capacity,Electric Fans,,We used to go to shops to get some air (electric fans).,,
FGD8_P10,Adaptive capacity,Electric Fans,,"Yes, it feels like the fan pulls the heat from the tin roof and blows it down.","Electric fans are the most effective way to deal with indoor heat. Although some participants mentioned that using a fan in the tin-shed house draws hot air, making the heat unbearable. Therefore, even in this extreme heat, they sometimes keep the electric fan switched off. Unfortunately, during heat waves, fans don’t provide much of a relief. For that reason, some of the participants think air conditioner is the best solution to feel comfortable and it’s not a luxury anymore if one can afford it. They even wished to install an AC to be comfortable and relaxed during the hot days, but couldn’t afford it due to economic constraints. ",
FGD2_P1,adaptive capacity,Electric Fans,,"For you, it’s near the road but inside the shop. Do you use a fan there? Yes.",,
FGD4_P3,Adaptive capacity,Electric Fans,,“We use fans.”,,
FGD5_P2,Adaptive capacity,Electric Fans,, “It depends on one’s financial capacity. (Another participant speaks in the background.) Everyone has fans at home. Some even have air conditioners. That’s about it.”,,
FGD5_P8,Adaptive capacity,Electric Fans,," “Some people get sick from the heat. When that happens, we bring them to the prayer area, let them rest under a fan, and give them water until they feel better.”",,
FGD-8_P10,Adaptive capacity,Electric Fans,,"I’ve seen in many places that in tin-shed houses or homes with bamboo walls, people turn off their fans during hot weather. This is because the fan actually increases the heat from the tin roof. That’s why, even during hot weather, they turn off the fan to reduce the heat.",,
FGD-8_P2,Adaptive capacity,Electric Fans,,"Yes, it feels like the fan pulls the heat from the tin roof and blows it down.",,
FGD-9_P1,Adaptive capacity,Electric Fans,,"There are a few exhaust fans, but they don’t work well. The temperature is so high that the fans don’t make much of a difference. They seem like they were installed just for show.",,
FGD-9_P9,Adaptive capacity,Electric Fans,,"household facilities Yes, yes. Do you all have fans or fridges at home? Yes, definitely.",,
"FGD4_P2,P3",Heat Sensitivity,Electricity Availability,,"“No, we don’t have electricity.”",,
FGD2_P6,adaptive capacity,"electrin fan, bating",,"So, when you get home, the fan is the way to cool down. You also mentioned taking a shower, which helps reduce the heat.Yes.",,
FGD3_P7,Barriers to Coping Heat,Encroachment,,"Not far from here, there’s the 300 Feet Road. It’s about 2 or 3 kilometers away—maybe less. It could be around 2.5 kilometers. If you go just a little further, you’ll see how vehicles are moving there. The 300 Feet Road is very close to us. From here, you can also see the airport and hear the sound of planes. It’s about 4.5 to 5 kilometers away—a 10-minute drive. There’s still a lot of land in our area that hasn’t been filled yet. Developers will want those lands too. For example, I sold my land, but someone else hasn’t sold theirs yet. My land was filled with sand, and their land was filled alongside it. These issues are causing conflicts, but the developers have more power, and the landowners can’t do anything.",,
FGD5_P11,Barriers to Coping Heat,Encroachment,,"“There’s a passenger shelter on this side, but it’s occupied by vendors. (P8: Yes, there is one.) Beside the counter on that side, there’s another shelter, but vendors occupy that too.”",,
FGD5_P11,Barriers to Coping Heat,Encroachment,,"“And even if they provide them, they’ll just get occupied again.”",,
FGD6_P2,Barriers to Coping Heat,Encroachment,,"“Shops have been set up on those spaces, so trees would have to be planted there.”",,
FGD8_P5,Barriers to Coping Heat,Encroachment,,Whatever space is available by the roadside is taken up by shops. They even rent out that space.,,
FGD-8_P5,Barriers to Coping Heat,Encroachment,,Whatever space is available by the roadside is taken up by shops. They even rent out that space.,,
FGD-9_P9,Barriers to Coping Heat,Encroachment,,"Nowadays, many landlords don’t allow access to the rooftops. For example, I can’t even go up to the roof to breathe fresh air or take a walk with my children.",,
KII_P2,Barriers to Coping Heat,Encroachment,,"New buildings are all boxes, but these buildings have plenty of ventilation. Unfortunately, we end up closing off those spaces. For example, our Biological Faculty—engineering structures look nice, but when you go to the middle, there’s space for air to circulate, and you’ll see spaces on both sides. But many departments close this area and create two rooms here. They didn’t think that the airflow would be disrupted by blocking these spaces. In Computer Science, they’ve turned the air circulation area into a prayer space. It’s a good thing that everyone prays, but if I say to keep that space open, they’ll say they don’t like prayer. They’ve even turned food areas into rooms. So, we are actually causing these problems due to the negligence of those in authority.",,
KII_P6,Heat Exposure,Encroachment,," But I’m sorry to say, from the papers I’ve been reading, everything that's happening, like the special analysis of Dhaka City, land use is increasing the heat",,
FGD6_P3,Psychological Responses,Fatalistic Belief,,“Some of it is beyond explanation—it depends on the Creator who decides the temperature. We can’t really explain it.”,,
FGD7_P3,Psychological Responses,Fatalistic Belief,,Heat is everywhere. You can’t reduce heat everywhere. That’s just how it is for us.,,
FGD7_P3,Psychological Responses,Fatalistic Belief,,"Whatever happens, happens. If it’s cold, it’s Allah’s will. If it’s hot, it’s also Allah’s will.",,
FGD2_P6,Heat Sensitivity,Female,,"P6: No, women also face temperature issues, but especially elderly people feel the heat more",,
"FGD2_P6,P7,P3",Heat Sensitivity,Female,,,,
FGD4_P4,Heat Sensitivity,Female,," “In our area, it’s mostly the women and children.”",,
FGD4_P5,Heat Sensitivity,Female,,“Girls tend to get sick more.”,,
FGD4_P5,Heat Sensitivity,Female,,"“At Dhaka University, the girls get sick more.”",,
FGD6_P1,Heat Sensitivity,Female,,"“Due to frequent load shedding in the heat, women mostly stay home and cook, which leads to sweating, causing more problems.”",,
FGD6_P6,Heat Sensitivity,Female,,"“The biggest problem is that you can't always stay in air-conditioned spaces. Not all rooms have AC. Maybe the dining or living room has it, but the kitchen never does. This makes women feel extremely exhausted and prone to illnesses.”",,
